cus_name,product_id,product_description,zone,aisle,rack,level
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,33, D3 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E03 ,42, D2 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E04 ,40, C2 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E05 ,16, A2 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E05 ,18, A2 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,East , E06 , 03 , E2 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 05 ,30, C4 
 Resideo,WV8840C1522/P,WATER HEATER GAS VALVE FOR RHEEM ,West , 05 ,30, D3 
