Product ID,Description,Unit ID,Zone,Aisle ,Rack,Level,ContainerType,Number ofContainers,LoosePieces,On Hand,Marked,Available
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105559,East , E01 ,37, C4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106403,East , E01 ,38, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106404,East , E01 ,39, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106405,East , E01 ,40, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106721,East , E01 ,44, C3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108015,East , E01 ,46, A2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106990,East , E02 ,1, C2 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106991,East , E02 ,1, C4 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106139,East , E02 ,3, A2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106992,East , E02 ,3, C3 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106993,East , E02 ,4, C4 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108833,East , E02 ,5, B1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106994,East , E02 ,5, C4 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107458,East , E02 ,6, A1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108829,East , E02 ,6, C2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108824,East , E02 ,6, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108016,East , E02 ,7, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106995,East , E02 ,9, C4 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108017,East , E02 ,10, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106996,East , E02 ,10, C3 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107461,East , E02 ,10, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106997,East , E02 ,12, C3 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108825,East , E02 ,12, D3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107459,East , E02 ,14, B2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106998,East , E02 ,14, C3 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108834,East , E02 ,17, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107462,East , E02 ,17, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105487,East , E02 ,17, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106140,East , E02 ,19, A2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105488,East , E02 ,19, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106141,East , E02 ,20, A3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105489,East , E02 ,21, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106142,East , E02 ,23, A2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106143,East , E02 ,23, A3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",106989,East , E02 ,23, B4 ,Carton,1,0,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107460,East , E02 ,23, C1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105491,East , E02 ,23, D2 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105490,East , E02 ,23, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108452,East , E02 ,24, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108507,East , E02 ,24, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108018,East , E02 ,28, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",107793,East , E02 ,28, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108451,East , E02 ,31, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108453,East , E02 ,31, B4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",105492,East , E02 ,32, B3 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108508,East , E02 ,32, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108019,East , E02 ,34, A4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108509,East , E02 ,34, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108510,East , E02 ,37, D1 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108511,East , E02 ,38, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108512,East , E02 ,39, D4 ,Carton,0,300,300,0,300
WV8840C1406/P," NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",108020,East , E02 ,41, A4 ,Carton,0,300,300,0,300
